nome,data_nascimento,cpf,cartao,tipo_conta,saldo,data_abertura
Ana Souza,1988-05-12,12345678901,4111111111111111,Corrente,3500.50,2015-06-01
Bruno Lima,1990-09-23,23456789012,4222222222222222,Poupança,1500.00,2018-03-15
Carla Mendes,1985-11-02,34567890123,4333333333333333,Corrente,7200.75,2012-01-20
Diego Alves,1992-07-18,45678901234,4444444444444444,Corrente,980.40,2020-08-10
Eduarda Rocha,1987-02-25,56789012345,4555555555555555,Poupança,11200.00,2010-12-05
Felipe Costa,1995-04-30,67890123456,4666666666666666,Corrente,450.00,2021-02-14
Gabriela Nunes,1991-06-09,78901234567,4777777777777777,Corrente,3050.20,2016-09-01
Henrique Pires,1983-10-17,89012345678,4888888888888888,Poupança,8700.90,2009-05-22
Isabela Martins,1994-01-08,90123456789,4999999999999999,Corrente,1250.60,2019-11-11
João Ribeiro,1980-03-03,01234567890,4000000000000000,Corrente,15000.00,2005-07-30
Lucas Freitas,1993-12-12,11223344556,4011111111111111,Poupança,2100.00,2017-04-19
Mariana Azevedo,1989-08-21,22334455667,4022222222222222,Corrente,5400.30,2014-10-08
Natalia Torres,1996-05-14,33445566778,4033333333333333,Poupança,890.10,2022-01-01
Otavio Barros,1984-09-29,44556677889,4044444444444444,Corrente,10200.00,2011-06-17
Patricia Guedes,1991-11-11,55667788990,4055555555555555,Poupança,2750.45,2016-02-28
Rafael Mota,1986-04-04,66778899001,4066666666666666,Corrente,6300.80,2013-03-09
Renata Farias,1992-07-07,77889900112,4077777777777777,Corrente,1980.00,2018-12-12
Samuel Batista,1988-02-19,88990011223,4088888888888888,Poupança,4100.25,2015-09-05
Tatiane Lopes,1997-10-01,99001122334,4099999999999999,Corrente,560.90,2023-06-18
Victor Araújo,1981-06-16,10111213141,4100000000000000,Corrente,8900.00,2008-11-27
,,11111111111,4111111111111111,Corrente,1000.00,2019-01-01
Carlos Silva,1990/13/40,22222222222,4222222222222222,Poupança,1500.00,2018-03-15
Fernanda Reis,1985-05-10,,4333333333333333,Corrente,3200.00,2014-07-07
Paulo Teixeira,1979-02-28,44444444444,12345,Corrente,5000.00,2010-10-10
Juliana Pacheco,1993-09-09,55555555555,4555555555555555,Corrente,-200.00,2017-05-05
