nome,data_nascimento,cpf,cartao,tipo_conta,saldo,data_abertura,origem_dados
Ana Souza,1988-05-12,12345678901,4111111111111111,Corrente,3500.5,2015-06-01,CSV
Bruno Lima,1990-09-23,23456789012,4222222222222222,Poupança,1500.0,2018-03-15,CSV
Carla Mendes,1985-11-02,34567890123,4333333333333333,Corrente,7200.75,2012-01-20,CSV
Diego Alves,1992-07-18,45678901234,4444444444444444,Corrente,980.4,2020-08-10,CSV
Eduarda Rocha,1987-02-25,56789012345,4555555555555555,Poupança,11200.0,2010-12-05,CSV
Felipe Costa,1995-04-30,67890123456,4666666666666666,Corrente,450.0,2021-02-14,CSV
Gabriela Nunes,1991-06-09,78901234567,4777777777777777,Corrente,3050.2,2016-09-01,CSV
Henrique Pires,1983-10-17,89012345678,4888888888888888,Poupança,8700.9,2009-05-22,CSV
Isabela Martins,1994-01-08,90123456789,4999999999999999,Corrente,1250.6,2019-11-11,CSV
João Ribeiro,1980-03-03,01234567890,4000000000000000,Corrente,15000.0,2005-07-30,CSV
Lucas Freitas,1993-12-12,11223344556,4011111111111111,Poupança,2100.0,2017-04-19,CSV
Mariana Azevedo,1989-08-21,22334455667,4022222222222222,Corrente,5400.3,2014-10-08,CSV
Natalia Torres,1996-05-14,33445566778,4033333333333333,Poupança,890.1,2022-01-01,CSV
Otavio Barros,1984-09-29,44556677889,4044444444444444,Corrente,10200.0,2011-06-17,CSV
Patricia Guedes,1991-11-11,55667788990,4055555555555555,Poupança,2750.45,2016-02-28,CSV
Rafael Mota,1986-04-04,66778899001,4066666666666666,Corrente,6300.8,2013-03-09,CSV
Renata Farias,1992-07-07,77889900112,4077777777777777,Corrente,1980.0,2018-12-12,CSV
Samuel Batista,1988-02-19,88990011223,4088888888888888,Poupança,4100.25,2015-09-05,CSV
Tatiane Lopes,1997-10-01,99001122334,4099999999999999,Corrente,560.9,2023-06-18,CSV
Victor Araújo,1981-06-16,10111213141,4100000000000000,Corrente,8900.0,2008-11-27,CSV
André Fonseca,1987-03-14,66666666666,5111111111111111,Corrente,4200.5,2012-08-01,XML
Bianca Rangel,1991-11-22,77777777777,5222222222222222,Poupança,1800.0,2016-04-12,XML
Caio Moreira,1989-06-09,88888888888,5333333333333333,Corrente,7600.9,2011-09-30,XML
Daniela Cruz,1994-02-18,99999999999,5444444444444444,Poupança,950.0,2020-01-20,XML
Eduardo Pinto,1982-12-01,12121212121,5555555555555555,Corrente,13400.0,2007-06-06,XML
